Text,True Label,Predicted Label,Real Category,Subcategory,Original Raw Text
total car reimberse insurance company time tell insurance adjustor remain loan pay receive leter provide chase auto receipt payment forward consider late payment report date credit report company record car payment draft time catorgorize history late payment   credit report email alert advise ocurence lower credit rating notify chase auto concern late payment hesitate request infomation,3,0,Loans,Vehicle loan or lease,"I totalled my car XXXX XXXX, XXXX. I was reimbersed by my insurance company XXXX XXXX. At that time, I was told by the insurance adjustor the remaining loan amount would also be paid off. It WAS. I received a letter from JP Morgan Bank that they had provided Chase Auto XXXX XXXX XXXX, XXXX XXXX, TX XXXX ( c/o XXXX XXXX XXXX ) of receipt of payment and that it had been forwarded. XXXX XXXX considered it a late payment and obviously reported it immediately after due date to all Credit Report Companies. Record will show that from XXXX XXXX to XXXX XXXX the car payment was drafted on time. This was catorgorized as History of Late Payment on my XXXX Credit Report. An email ALERT advised me of the occurrence that lowered my credit rating. I was never notified by Chase Auto of their concern of a late payment. Do not hesitate to request more infomation."
escalate concern continue identity theft pinpoint service eror corporate ofice chase bank recent report year specialty credit reporting simple checking acount hapene agre close check saving safety deposit bo spend sumer   find chase bank close safety deposit bo paper sign ask bank numerous opt database marketing ask corporate removal information database refuse contact branch number time year open check acount inform solicate fraud theft scam aditional report jp fraud prevention suce continue pinpoint service eror,0,2,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports","In the Escalating Concerns of Continuing Identity Theft, there are Pinpoint Services Errors of JP Morgan Chase Corporate Offices, And Chase Banks. As ' of Most Recent, I am still seeing JP Morgan Chase as ' a Report for more than ( 4 ) years on Specialty Credit Reporting for a Simple Checking Account. What ' had happened, Is. Chase Bank and I ' agreed to Close a Checking, Savings and a Safety Deposit Box in XXXX of XXXX in XXXX, XXXX. In XXXX of XXXX, while spending my Summer in XXXX XXXX, XXXX_ I ' found out that ' Chase Bank in XXXX did not. close the Safety Deposit Box after, Papers were Signed in XXXX in XXXX, XXXX. In XXXX, XXXX and XXXX, I ' had asked Chase Bank for numerous Opt-Outs from their Database Marketing, And asked Corporate for the Removal of Information from their Database, And I ' was Refused. I ' also, Contacted the Branch in XXXX a number of times in ( 4 ) years that is, where ' I ' "" Originally '' opened my Checking Account, And informed them that ' I was Continually being Solicated in Made Fraud, Theft and Scamming by JP Morgan Chase, And made Additional Reports to JP Morgan Chase Fraud Prevention with No Success in Continuing Pinpoint Service Errors."
order age defy colagen eye cream vendor cale total order deliver contact vendor order return product respond return product tracking number responsible ship charge refund return product acepte ofer partial refund ask epect refund respond submit ticket   fulfilment team proce original payment method receive email confirm proce complete email time receive email refund contact vendor email refund,2,1,Bank Account or Service,Checking or savings account,I ordered an age defying collagen eye cream from a vendor on XXXX called XXXX for a total of {$25.00}. The order # was XXXX. It was delivered on XX/XX/2018. On Sunday XX/XX/2018 I  contacted the vendor in order to return the product at XXXX. On Monday XX/XX/2018 XXXX from XXXX responded and said that I would have to return the product back to XXXX with a tracking number and I would be responsible for the shipping charges. Or she said I could get a 30 % refund and not have to return the product. On Thursday XX/XX/2018 I accepted the offer of 30 % partial refund and asked when I could expect the refund. On Wednesday XX/XX/2018 XXXX responded that she had submitted ticket # XXXX to the fulfillment team to process the original payment method and I would receive an email confirming once the process was complete. On Thursday XX/XX/2018 and Wednesday XX/XX/2018 I emailed both times that I had not received an email or refund. I have not had any contact with the vendor since then. No emails or refund.
chase product kind life atempte open acount deny product sem know point desire obtain service dwindle pose cause concern agitation submit,2,1,Bank Account or Service,Checking or savings account,"Never had a chase product of any kind in my life and now that I am attempting to open an account I am repeatedly denied for all products no one seems to know why. 

At this point my desire to obtain their services is dwindling but it is posing enough cause for concern and agitation that I submit this"
  purchase gift card   pay chase acount gift certificate valid year disclose purchase close month owner sister tell remain month tell availability complain month etension tell acept single date work help owner money unwile work fulfil certificate purchase service render date certificate use entire year date work time purchase tell certificate use time restriction,2,1,Bank Account or Service,Checking or savings account,"In XX/XX/2018 I purchased a {$500.00} gift card from XXXX XXXX in XXXX XXXX NY. I paid with my Chase account. The gift certificate was only valid for one year, this was not disclosed to me until after purchase. XXXX was closed for over 6 months when the owners sister had XXXX, so we are told, and the remaining 6 months we were told there was no availability. When we complained we got a 1 month extension and were told to accept a single date in XXXX that did not work for us. Please help, the owner has kept our money and has been completely unwilling to work with us to fulfill the certificate we purchased. No services were ever rendered as we were only given 1 date that the certificate could be used for an entire year and that 1 date did not work. At the time of purchase I was told the certificate could be used at any time without restriction."
bad service close bank acount credit card reduce available credit damage credit score reduce receive late payment report separate credit card personal chase fredom credit card busine credit card write leter dispute late payment report entirety remove credit report period   financial hardship covid restriction tell chase employe credit card acount sign credit card relief forbearance program receive cover acomodation acepte period credit acount pay curent outline tell chase acomodation program delay payment personal busine credit card afecte covid tell relief period statement minimum payment refund late fes negative report credit agency regard late payment mistake late payment report credit card chase acomodation program term condition credit card acomodation program chase credit card term condition covid acomodation report chase bank clerical computer glitch eror system acomodation register bring eror chase tell corect isue credit reporting agency acorde employe proce place corect eror report regard covid request late payment report month remove credit report request damage credit ocure decrease available credit reflect note statement eror mistake pay chase credit card reduce available credit limit retaliatory tactic chose bank consumer right unable qualify credit card debt aplie credit card deny damage credit score fel believe single isue chase damage credit reputation leave bank credit agency helpful comunication corect problem,0,1,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports","Due to bad service in XXXX I closed all my Bank accounts with JP Morgan Chase. I had 2 credit cards with them which they immediately reduced my available credit damaging my credit score from XXXX and reducing it to XXXX. 
I received two late payment reports for two separate JP Morgan Chase credit cards in XX/XX/2020 : A personal Chase Freedom credit card and a business credit card. I wrote a letter to dispute these late payment reports in their entirety and to have them removed from my credit reports. During the periods of XX/XX/2020 XXXX I went through financial hardship due to Covid-19 and its restrictions. I was told by a Chase employee my credit card accounts can be signed into their credit card relief & Forbearance program ( Appendix B ) and that I can receive covered accommodation which I accepted. During this period all credit accounts were paid and current as outlined in 15 U.S.C. 1681s-2 ( a ) ( 1 ( F ) ( iii ). I was told that under Chase accommodation program I could delay up to three payments on my personal or business credit cards since I had been affected by COVID-19. I was told during the relief period I would get : Statements showing no minimum payment due Refunded Late Fees No negative reports to credit agencies regarding late payments Still there was a mistake and were late payments were reported for both credit cards which is against Chases accommodation program and Terms and Conditions for credit cards in their accommodation program. Chase Credit Card Terms & Conditions for Covid accommodations. I am reporting Chase bank had a clerical or computer glitch/error in their system and that my accommodation was somehow not registered. I brought this error up to Chase Bank and was told to correct the issue with the credit reporting agencies as, according to their employee, they do not have a process in place to correct this errors once reported regarding Covid-19. Because of this I am requesting that all late payments reported by Chase Bank in the month of XXXX be removed from my credit report and further request that any damage to credit which occurred by Chase Bank decreasing my available credit be correctly reflected/noted, in written statement - to be an error and a mistake by Chase Bank I paid off all my Chase credit cards but due to their reducing my available credit limit and retaliatory tactics to my choosing another bank as is a consumers right I was unable to qualify for another credit card despite having XXXX debt. I applied for credit cards and was denied further damaging my credit score. It fell from XXXX to XXXX because of this which I believe is all a single issue. Chase damaged my credit and reputation due to my leaving their bank and credit agencies have been less than helpful in communication with me to correct this problem."
update credit auto loan late fes update reflect pay agre late new balance,0,3,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports","PLEASE UPDATE ALL CREDIT BUREAUS FOR AUTO LOAN WITH CHASE, REVERSE ALL LATE FEES AND UPDATE ALL BUREAUS TO REFLECT PAYING AS AGREED NEVER LATE NEW BALANCE XXXX {$18000.00}."
dear cfpb submit complaint dispute response chase dispute receive bil dispute reply start complaint try resolve tell wile waive dril past charge cale   branch receive return cal por customer service receive branch time drive way resolve original complaint tell unable remove option available dril close ne ensure way branch live area leter state handle faith branch wil able handle advise  ,2,1,Bank Account or Service,Bank account or service,"Dear CFPB - I submitted a complaint in XXXX 2016 XXXX XXXX ) and disputed it. I have yet to get a response from Chase on the dispute. I have now received yet another bill even though my dispute has not be replied to. I am now starting another complaint so I can try to get this resolved. 

I have been told Chase is willing to waive the drill fee ( {$150.00} ) and any past due charges ( currently {$74.00} ). When I originally called the XXXX XXXX branch I never received return calls. After seeing the poor customer service I have received from this branch I will not take the time to drive all the way to get this resolved. 

In my original complaint ( XXXX ) I was told 'we are unable to remove you from the XXXX. The only option available is to drill the XXXX and close it out. I need to ensure they can do this without me having to go all the way into this branch. I no longer live in the area. If they can not do that I must have a have a letter stating this is how it will be handled as, again, I have no faith that the branch will be able to handle this. 

Please advise. 
Sincerely, XXXX XXXX XXXX"
receive tet notification charge debit card et   tet come similar info et tet come stay rd charge time second tet come log chase acount charge notice smal pende charge pende large charge limited information charge come quick search find cryptocurency familiar minute tet come phone chase report charge card cancel tell new card new card number isue lady tell nede cal fraud department report fraud department close sunday   cale fraud department report fraud notice claim deny cale fraud department find tell deny charge authorize cale increase credit limit tell chase authorize refuse information caler use prof tell information tell loke open claim nede provide prof charge   file police report county police department file report ftc fraud alert credit bureaus freze friend know situation bank mesage contact acount email asistance email include document provide chase   cale fraud department provide police report number tell claim open tell   tell provide prof charge aprove basicaly acuse colusion provide information charge like know doubt charge know provide information order charge request increase fraud department tell caler busine equipment tell caler cale time tet come charge eception recent charge restaurant card posesion card thing alert chase timely maner posible minute history charge acount purchase cryptocurency cale credit line increase total monthly charge dolar ne resolve money acount chase wamu unhapy way treat fraud department,2,1,Bank Account or Service,Checking or savings account,"On XX/XX/XXXX, at XXXX Pacific, I received a text notification that a charge to my JP Morgan Chase XXXX debit card was made in the amount of {$4900.00} at XXXX ET. At XXXX, another text came in with similar info for {$4900.00}, XXXX ET. At XXXX, the third text came in staying that a 3rd charge was made at XXXX ET in the amount of {$5100.00}. By the time the second text came in, I was logged in to my Chase account to look at the charges. I also noticed two other small pending charges that were also pending prior to the large charges. Both were under {$1.00}. There is limited information on where the charges came from- it only says XXXX or XXXX XXXX XXXX After doing a quick XXXX search, I found that this has to do with cryptocurrency, which I am not familiar with. 
On XX/XX/XXXX at XXXX ( so FOUR minutes after the first text came in ), I was on the phone with Chase ( @ XXXX ) to report the charges. The card was cancelled and I was told a new card with a new card number will be issued. The lady told me I needed to call the fraud department on Monday ( XX/XX/XXXX ) to report the fraud since that department was closed on Sundays. 
On XX/XX/XXXX, I called the fraud department to report the fraud. It wasnt until XX/XX/XXXX that I got a notice that the claim was denied. I again called in to the fraud department to find out why. I was then told that it was denied because charges were authorized since I called in to increase my credit limit. I immediately told them that I did NOT call in to Chase to authorize this. They also refused to give me any information as far as what the caller used as proof that it was me. I was told I cant have that information. I was then told that it would be looked into further and they would re-open the claim but I needed to provide proof that it was NOT me that did these charges. 
On XX/XX/XXXX, I filed a police report with XXXX County Police Department. I also filed a report with the FTC. I have put a fraud alert on my credit bureaus and put a freeze on them. I had a friend that knew of my situation with the bank and he messaged me with a contact at XXXX because he does have an account with them. I emailed them to see if they could be of any assistance. Those emails are included with the documents I later provided to Chase. 
On XX/XX/XXXX, I called the fraud department again to provide the police report number. I was told that the claim was not open, despite what I was told on the XXXX. I was again told to provide proof that I didnt do these charges or it wont be approved. I also was basically accused of collusion and providing others with information to do these charges. I would like you to know that, without a doubt, I did NOT do these charges nor do I know who did. I certainly didnt provide anyone with information in order to make these charges. I did NOT call in, requesting the increase to {$30000.00}. The fraud department told me the caller said it was for business equipment. Also, I was told the caller called in at XXXX ET. This was the same time the first text came to me with the first charge. Also, with the exception of my one recent charge at XXXX restaurant, the card has not been out of my possession and I have my ID, SS Card and all other things with me. 
I alerted Chase in the most timely manner possible, within 4 minutes. Look at my history of charges. Look at my account, I have never purchased cryptocurrency before. I have never called in for a credit line increase. My TOTAL monthly charges are usually only a few XXXX dollars. I need this to get resolved and my money put back in my account. I have been with Chase ( previously WaMu ) since XXXX and I am very unhappy with the way I have been treated by the fraud department."
chase credit limit acount balance stil report card age credit history curent,0,1,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports",chase-credit limit not  XXXX  accounts with a balance   XXXX   still showing on report-  XXXX     XXXX   XXXX   card.   Age of credit history not current.
judgment courthouse pay lawyer year stop aford receive cancelation debt bank owe pay earn income ta year speak wil update credit report charge ne alert court credit satisfied responsible earn income stil owe money contact contact bank,1,0,Credit Cards and Prepaid Cards,Credit card,"I had a judgment against me in XX/XX/XXXX with Chase Bank at XXXX County Courthouse in XXXX, FL. I paid their lawyer for almost a year and then stopped because I could no longer afford to. I received a XXXX ( Cancellation of Debt ) from the IRS for Chase Bank for the amount I owed them. I have paid the IRS since this XXXX showed that I had earned income for XX/XX/XXXX Tax Year. 
I have spoken with Chase Bank and they will not update my credit report, they only show it as charged off now. I feel they need to alert the court and the Credit Bureaus that this is satisfied or something. I can not be responsible for earned income and still owe them money. I have also contact IRS and they said to contact Chase Bank."
charge air charge foreign transaction fes transaction charge cale request refund fes credit service agent helpful,1,2,Credit Cards and Prepaid Cards,Credit card or prepaid card,"I was charged two amounts of {$200.00} by United Air which should not have been charged. Additionally, foreign transaction fees of {$6.00} per transaction was charged. I called to request a refund of fees and a credit and the service agent was not helpful."
  cale chase discus dificulty regular scheduled payment time cal complete time length hour speak speak speak able help eplain program ofer defer month payment year relief program choose year program tell interest rate low fes acount close pay year hold come news interest rate ask payment amt comfortable tell ask income epense tell home eact figure figure hold come ask pay health insurance sure ask deduction paycheck eplain figure income wrong figure income base check month pay check seme confuse leave hold come tell aprove payment tell work pas supervisor final aproval come aprove epense income tell incorect figure income transfer supervisor wait phone stil conecte come line tok hour minute cale eplain hold supervisor come line eplain new phone system sure supervisor come line try transfer bad conection talk colection handle proce tell eligible eligible corecte income eplain cal customer service day reaply relief program time tok deferal payment net payment cale discus dificulty   payment want day talk eplain cale start talk cal disconecte cale talk cal disconecte think cel phone cale use land line phone cale rd time talk tell cale note system cal talk note cal disconecte cale th time land line talk cal disconecte cale day receive   work complaint send enter digit etension request receive mesage valid entry cale enter et recevd msg stay line voice mail leave mesage cal cale   enter digit etension able speak eplain frustration caling try figure help payment cale cal disconecte tell cale number save unle conversation rep lok info person talk leave mesage receive cal   share phone cal receive chase harasment folowe cal receive   cal day period today cal mistake cal apologize cal cal cal cal cal cal   talk department review complaint tell return cal apologize handle complaint eplain frustration customer service able speak regard payment repeat phone cal chase net imposible customer help hara multiple phone cal cal day period cal come,1,3,Credit Cards and Prepaid Cards,Credit card or prepaid card,"On XX/XX/XXXX I called Chase to discuss my difficulty in making the regular scheduled payment. From the time I made the call to when It was completed, the time length was 1 1/2 hours. I first spoke to XXXX ( did not get her ID # ), then spoke to a XXXX ID # XXXX, then spoke to XXXX, ID # XXXX who finally was able to help me. She explained to me the two programs they have to offer. One was to defer one month payment, the other was a 5 year relief program. I chose the 5 year program. She told me that the interest rate would be lower, no fees, the account would be closed and paid off in 5 years. She then put me on hold and came back to say she had good news that the interest rate would be 0 %. She also asked me what payment amt would I be comfortable with, and I told her {$150.00}. She then asked me for my income and expenses. I told her I was not at home and would not have the exact figures, she said that would be OK. After I gave her the figures, she put me on hold, came back and asked what we pay for in health insurance. Not sure why she asked me this as it is already a deduction out of our paycheck. I also explained to her that I had figure our income wrong. I was figuring income based on 2 checks per month for each of us, when we really get 26 pay checks, not 24. She seemed to be confused on this, and left it as what had given her. After another hold, she came back told me I was approved, but the payment would be {$160.00}. I told her that would work. She then said she was going to pass this on to her supervisor for final approval. She then came back and said we were not approved, that our expenses are more than our income. I told her that was incorrect, and would be because of how I figured the income. She then transferred me to her supervisor. After waiting on the phone, still connected no one came on the line. This all took an hour & 15 minutes. I then called back got a XXXX ID # XXXX explained everything & how I was on hold and the supervisor never came to the line. She explained that they have a new phone system and would make sure her supervisor would come on the line. She tried to transfer but it was a bad connection. I then talked to a XXXX ID # XXXX in collections about how XXXX handle the process, told me I was eligible, then not eligible. Not correcting the income I explained to her. She said I would have to call customer service in 30 days to reapply for the relief program. So at this time I took a deferral for XXXX payment. 

My next payment would be due XX/XX/XXXX. I then called back on XX/XX/XXXX to discuss again our difficulty to make XX/XX/XXXX payment. But did not want to get 30 days behind. I first talked to XXXX ID # XXXX, explained why I was calling and we started talking, then the call disconnected. I called back talked to XXXX ID # XXXX, the call disconnected again. I then thought maybe it was my cell phone so called using my land line phone. I called back the 3rd time, talked to XXXX ID # XXXX, told her why I was calling and said there should be notes in the system from my call with XXXX ( the first one I talked to ) there were no notes. The call then disconnected. I called back the 4th time, on my land line, talked to XXXX, ID # XXXX and again the call disconnected. 

I then called XXXX on the same day, XX/XX/XXXX, the # I received from XXXX who was working on the first complaint I sent. I entered the 10 digit extension as it requested, I then received a message, "" not a valid entry ''. I called back, enter the ext again, recevd the same msg, but stayed on the line and got XXXX voice mail. I left her a message to call me. I then called back to the XXXX, did not enter the 10 digit extension and was able to speak to XXXX. I explained to XXXX my frustration. Calling trying to figure out help with our payment, called 4 x 's and every call disconnected. I told her someone could have called me back. She said that the number is not saved, unless in the conversation it was given to one of the reps to look up my info. Which it was given to the first person I talked to, which was XXXX, ID # XXXX. She said that she would leave a message for XXXX. I never did receive a call back from XXXX. 

I also shared with XXXX all the phone calls I received from Chase and how this is harassment at the least. Below are the following calls I received from XXXX. 13 calls in a 3 day period. then again today 4 calls, with two of the one after the other. If I am not mistaken it should be no more than 3 calls in a week, may not call repeatedly. She apologized and said she would definitely have XXXX call me. Which she never did. 

XX/XX/XXXX - XXXX ; XXXX, XXXX ; XXXX, XXXX, XXXX, XXXX - 5 calls XX/XX/XXXX - XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX ; XXXX, XXXX - 5 calls XX/XX/XXXX - XXXX, XXXX, XXXX - 3 calls XX/XX/XXXX - XXXX, XXXX, XXXX - 3 calls XX/XX/XXXX - XXXX, XXXX XXXX twice ), XXXX - 4 calls XX/XX/XXXX - I talked to XXXX, who is in the department that was reviewing my complaint. I told him how XXXX was not returning my calls. He apologized and said he was now handling my complaint. I also explained to him my frustration with the customer service. Not being able to speak to someone regarding my payment and the repeated phone calls. 

Chase makes it next to impossible for the customer to get any help at all. Then harass with multiple phone calls, 13 calls in a 3 day period, with calls coming in one after the other."
asigne    asigne   place wage garnishment salary apropriate notification open acount chase identity compromise social security number use open numerous acount sue training able defend alegation money company chance dispute validity acount require law produce document original agrement speak rude provide information rectify situation,0,2,Credit Reporting and Debt Collection,Debt collection,"XXXX XXXX XXXX, Assignee of XXXX XXXX, XXXX Assignee of XXXX XXXX XXXX, XXXX, placed a wage garnishment on my salary, without appropriate notification. Furthermore, I did not open an account with First USA Bank, which is now owned by Chase. My identity was compromised and my social security number was used to fraudulently to open numerous accounts. I was initially sued in 2008, while away at training for the XXXX  XXXX XXXX XXXX. I was not able to defend myself for this allegation of owning money to this company. I was also never given the chance to dispute the validity of this account. They are required by law to produce documents, such as the original agreement. I spoke to XXXX XXXX at the XXXX XXXX and she was very rude and would not provide any information on rectifying this situation."
numerous transaction chase debit card dispute outpost promise pay ful refund mother die return money pay month advance run visa involve outpost partner company lie charge dispute chase remove acount merchant pay admit lie want fes resubmit payment steal,2,1,Bank Account or Service,Checking or savings account,I have numerous transactions on my Chase debit card that I disputed. Outpost promised me if I pay {$250.00} that I could get a full refund because my mother died of XXXX. They will not return ALL my money and I paid 6 months in advance in XXXX. Chase bank is giving me the run around. So now Visa is getting involved. Also XXXX- Outpost partner company lied on me because they had a charge disputed. Chase now is removing {$760.00} from my account saying that the merchant paid me. They admitted that they lied because they wanted to get their fees back after I nicely resubmitted payment. I'm XXXX and on XXXX they are stealing from me and SSA.
use acount deposit check acount try contact chase multiple time year resolve mater tell steal information use information withdraw deposit check chase resolve year report acount charge transaction hapene   send information stil resolve mater respond chase liquid acount acount number,0,2,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports",Someone Used my account and deposited checks in my account. I tried to contact Chase multiple times over the years to resolve this matter. I told them that someone stole my information and used my information and withdrew {$200.00} after depositing the checks. Chase have not resolved this after 3 years and it still is reporting on my name and the account is charged off. The transaction happened on XX/XX/XXXX. I sent the information to them back in XX/XX/XXXX and they still have not resolved this matter nor responded. It was a chase liquid account and the account number is XXXX
steal identity,1,2,Credit Cards and Prepaid Cards,Credit card or prepaid card,Someone stole my identity.
   cale chase mortgage customer service request ach stop cale date change ach banking info completion cal setup phone chase deny seke counsel mater,3,2,Loans,Mortgage,"On XX/XX/2016, I called into Chase Mortgage customer service department and did not request that ACH be stopped. I called on this date to change ACH banking info. and upon completion of call everything was setup over the phone. Chase has repeatedly denied the above and I'm seeking counsel on this matter."
report foreclosure credit report report late payment pay house foreclose ned fi,3,0,Loans,Mortgage,Chase is reporting Foreclosure on my credit report as well as reporting late payments after it was paid off. My house did not foreclose. This needs to be fixed immediately.
cfpb chief underwriter tarp fund recipient jpmchase violate federal civil right eamine original setlement statement jpmchase frm refinancing fdic loan day schedule closing   fact let eamine pay refinance jpmchase mortgage stop violate federal civil right eamine original setlement statement acept jpmchase close efective closing date original schedule closing date,3,0,Loans,Mortgage,"XX/XX/2016 CFPB : The Chief Underwriter of TARP Funds Recipient JPMChase has Violated My FEDERAL Civil Right to Examine My original HUD-1 Settlement Statement of my JPMChase FRM Refinancing of my FDIC-Conserved LIBOR-Indexed ARM Loan, the day before the Scheduled Closing at XXXX XXXX, and, in fact, has NEVER let me examine it, when I had paid the {$2500.00} Refinancing Application Fee to JPMChase Mortgage Specialist XXXX XXXX XXXX. I need JPMChase to STOP Violating My FEDERAL Civil Right to Examine My original HUD-1 Settlement Statement, and, if I accept it, JPMChase and I are to Close, with Effective Closing Date being the Original Scheduled Closing Date. 

Sincerely, XXXX XXXX XXXX XXXX XXXX XXXX XXXX, IL XXXX XXXXXXXXXXXX"
lose walet couple year goten hold information create fraudulent acount tell create acount check credit thing credit report police report contact creditor m wait response thank,0,1,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports","I lost my wallet twice once a couple of years ago and sometime ago, Someone must've gotten hold of all my information and created so many fraudulent accounts, under my name. someone told me about creating an account with XXXX so I can check my credit. when i saw the thing that was on my credit report i quickly made a police report and i also contacted the creditors. Im still waiting on a response from. 


thank you"
atempte use automate system auto payment chase year chase restriction prevent payment request stop cale work cale number verify acount social security number vehicle chase representative answer telephone provide information representative asist ful birth verify chase state record telephone conversation agrement state birth provide social security number acount number vehicle person hang chase deny payment time request stop cale work,3,0,Loans,Vehicle loan or lease,"In XX/XX/XXXX and XX/XX/XXXX, I attempted to use the automated system to make my auto payment with Chase ( as I have done for over two years ). Chase has put a restriction which prevents me from making my payment. This is because I requested they stop calling me at work. I called the number in XX/XX/XXXX, verified my account, social security number and make of vehicle. A Chase representative answers the telephone. I provide the same information again. The representative would not assist me because I would not give him my full birth name. This should be easily verified, since Chase states they record telephone conversations. There is nothing in my agreement that state I have to give you my birth name, especially since I provided my first and last name, social security number, account number and make of vehicle. The person then hung up on me. Chase denied me making the payment on time, because I requested they stop calling me at work."
discriminate consumer impact covid know comite desperate treatment file regard isue fes refund ofere cale request refund fes refund legwork hour spend phone receive chase response complaint state refund future fes cale chase rep corporate ofice reach introduce person manage case clarify tell legal opinion chase legal team refund fes average refund future fes relate covid state global pandemic normal refund fes customer policy aplie consumer cause financial harm consumer impact stand today chase consumer entitle receive refund tell entitle benefit state ability change policy time day notify consumer find hard understand consumer fair know policy wil day,2,1,Bank Account or Service,Checking or savings account,"Chase Bank is discriminating against consumers impacted by covid-19 intentionally and knowing committing desperate treatment. 

I filed a CFPB complaint ( XXXX ) regarding issues getting XXXX  fees refunded, which they are voluntarily offering back if you called to request a refund. While I eventually had the fees refunded, due to my own legwork and hours spent on the phone, I received Chases response to the complaint stating they may not refund future fees. 

I called Chases rep at their corporate office, XXXX XXXX XXXX XXXX ) who had previously reached out to introduce himself as the person managing the case, to clarify who told me the legal opinion of the Chase legal team was they refunded more fees than average and would not refund future fees related to covid-19. I stated to XXXX a global pandemic is anything but normal and if they are refunding fees for some customers but not all, that is not policy uniformly applied to consumers and intentionally causing financial harm to consumers more adversely impacted. 

As it stands today, any other chase consumer is entitled to receive a refund and now I am being told I am not entitled to the same benefit. 

XXXX also states they have the ability to change their policy at any time, even every day, without notifying consumers which I find hard to understand how as a consumer is fair if I do not know what the fee or policy will be on any given day."
checking saving act wipe believe lose card time notice fraud activity day chase send tet mesage ask transaction reply asuming handle time mise couple day think chase handle isue money tranfere saving checking money acount cal ask thing handle act close file dispute claim deny claim total ask chase listen recording person authorize online transfer deny state nede supbenea lastnight notice bank new saving act tok temporary credit cale leter receive notify claim deny cal chase lastnight ask state transaction fraud activity monthly automatic pay program chase eecutive dept file compliant deny know,1,2,Credit Cards and Prepaid Cards,Credit card,"XXXX XXXX, 2016 both my checking and savings acct were wiped out completely. over {$10000.00} was gone. I believe i lost my card some time around XXXX XXXX. I did not notice the fraud activity until about 2 days later when chase sent me a text message asking if i had been the XXXX to make these transactions i replied NO assuming they will handle everything. at that time about {$300.00} was missing. within a couple of days ( thinking chase was handling the issue ) my money was tranfered from my saving into my checkings and all of my money from both accounts were gone. i finally call XXXX XXXX asking WHY things werent handled and why my acct wasnt closed. I filed disputes and several claims. out of {$10000.00} i was denied XXXX claims totaling to {$4800.00} XXXX when i asked chase to listen to the recording of the "" person who authorized the online transfer '' they denied me and stated that i needed to supbenea them first. Lastnight at XXXX on XXXX i noticed Chase bank went into my NEW savings acct and took back XXXX temporary credits made to me back in XXXX. Noone called me, no letter was received, or anything notifying me that my claims were denied. I call chase lastnight asking why and the rep stated i made transactions while the fraud activity had been occuring ( which where monthly automatic pay ) to my XXXX program. I went thtough chase executive dept and filed a compliant but that was also denied. i do not know what more to do."
file bankruptcy discharge banruptcy include loan home mortgage house belong brother title title loan year default chase home mortgage claim receive document court regard bankruptcy come threaten lien curent home credit ruin report credit bureau financial responsibility system life afecte employer check credit ofer employment day credit card buy car report chase court ask lien property declare debt banruptcy discharge ned clear credit clean life lend credit file bankruptcy sure sun credit ensure report learn leson fi long time cause stre mariage family help,0,3,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports","I filed a bankruptcy back in XX/XX/XXXX and it was discharged in XX/XX/XXXX. In this banruptcy I had included a loan from chase home mortgage for a house which belongs to my brother legally on the title. I was never in the title only in the loan. Years later he defaulted again and chase home mortgage claimed that they never received documents from the court regarding my bankruptcy and they are coming after me and threatening to or a lien on my current home and my credit has been ruined again because they have not reported it properly to the credit bureau and have not taken the financial responsibility off my name in their system. My life is being affected yet again since even an employer checks your credit to offer you employment these days and I can't even get a credit card or buy a car, nothing because they have not reported this properly. Chase has taken me to court and asking for something like {$140000.00} or a lien on my property when I declared that debt in the banruptcy and it was discharged! I need these cleared up and my credit cleaned so I can have my life back! Never ever ever lend your credit to anyone and when you file bankruptcy make sure you sun your credit to ensure it is being reported properly. I have learned my lesson but fixing this is taking a long time and causing stress on my marriage and our family! Please help!"
distraught se car mising eit apt mother law hand sign fel dashboard noticeable tow company tok car ask release car original registration owner vehicle present original registration owner vehicle tow alowe sign policy ask dispute charge evidence suport cause car register apt comple,2,3,Bank Account or Service,Bank account or service,"I was distraught to see my car missing as we exited our apt with my mother in laws XXXX in hand. The XXXX sign had fell into the dashboard and was hardly noticeable.. The towing company took the car. They asked for {$270.00} to release the car with the original registration owner to the vehicle present. The original registration owner of the vehicle is in Arizona and the towing truck rep illegally allowed me to sign for her when it was against policy. 

I humbly asked chase bank to dispute these charges as I have evidence to support my. cause with the car being registered to the apt complex."
